연번,교육대상,콘텐츠상세대상자,교육주제,제목,개발연도
1,유아,유아,가족친밀성,유아를 위한 고정관념 깨기 [사례편] - 다양한 가족을 상상해봐요,2021
2,유아,유아,가족친밀성,"유아를 위한 성평등 교육 수업안내서 - 자기돌봄 배우기: ""제 옷은 제가 정리할게요!""",2021
3,초등(저),초등(저),가족친밀성,"[선생님이 읽어주는 양성평등 교육] 함께 말해요, 삐약! 니양!",2021
4,교사양육자,교사양육자,교육학교,초/중등 교사를 위한 양성평등 교육 콘텐츠 활용 가이드 7문 7답 ,2021
5,중고등학생,중고등학생,교육학교,중등 교사를 위한 성평등 교육 안내서 - 성평등하고 안전한 교실을 만드는 수업 준비 가이드,2021
6,중고등학생,중고등학생,교육학교,중등 교사를 위한 성평등 교육 안내서 - 성평등하고 안전한 교실을 만드는 창의적 체험활동,2021
7,중고등학생,중고등학생,교육학교,중등 교사를 위한 성평등 교육 안내서 - 성인지 감수성을 높이는 월드카페 독서 토론,2021
8,초등(저),초등(저),교육학교,초등 성평등 교육을 위한 온작품읽기 수업안내서 - 『제비꽃 마을의 사계절』 함께 읽기,2021
9,초등(저),초등(저),교육학교,"[성평등 교육 수업꾸러미 - 영상] 어느 날, 이모가 사라졌다!",2021
10,초등(저),초등(저),교육학교,"[성평등 교육 수업꾸러미 - 교안] 어디어디 숨었나, 숨겨진 직업 찾기 ",2021
11,초중등,초중등,교육학교,"[청소년, 성평등 쓰고 그리다] 차별의 턱을 없애주는 경사로, 성평등",2021
12,초중등,초중등,교육학교,"[청소년, 성평등 쓰고 그리다] 성평등은 과학을 자유롭게 한다",2021
13,초중등,초중등,교육학교,"[청소년, 성평등 쓰고 그리다] 엉뚱한 상상으로 세상을 아름답게",2021
14,초중등,초중등,교육학교,"[청소년, 성평등 쓰고 그리다] 여덟 색깔 무지개로 함께 빛나요",2021
15,초중등,초중등,교육학교,"[청소년, 성평등 쓰고 그리다] 성평등은 나와 우리의 이야기",2021
16,고등학생,고등학생,노동경제,알고 시작하는 알바 1,2021
17,고등학생,고등학생,노동경제,알고 시작하는 알바 2,2021
18,초등(고),초등(고),미디어,[성평등 교육 수업꾸러미 - 영상] 초등 뉴스 비평(1차시) - 뉴스란 무엇일까요,2021
19,초등(고),초등(고),미디어,[성평등 교육 수업꾸러미 - 영상] 초등 뉴스 비평(2차시) - 무엇이 뉴스가 될까요,2021
20,초등(고),초등(고),미디어,[성평등 교육 수업꾸러미 - 영상] 초등 뉴스 비평(3차시) - 뉴스는 사실만을 전할까요,2021
